current_path,filename,classification,analysis,new_path
indicators/cvd/Better-01.pine,Better-01.pine,cvd,"Append -CVD suffix for CVD family",indicators/cvd/Better-01-CVD.pine
indicators/cvd/Better-02.pine,Better-02.pine,cvd,"Append -CVD suffix for CVD family",indicators/cvd/Better-02-CVD.pine
indicators/cvd/Better-03.pine,Better-03.pine,cvd,"Append -CVD suffix for CVD family",indicators/cvd/Better-03-CVD.pine
indicators/cvd/Better-04.pine,Better-04.pine,cvd,"Append -CVD suffix for CVD family",indicators/cvd/Better-04-CVD.pine
