"path","has_version","paren_open","paren_close","bracket_open","bracket_close","curl_open","curl_close","non_ascii_chars","issues"
"D:\Work\Coding\Trading\indicators\other\PI-13.pine","True","293","293","31","31","0","0","53","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PI-14.pine","True","317","317","36","36","0","0","98","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PI-15.pine","True","173","173","10","10","0","0","312","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PI-16.pine","True","54","54","14","14","0","0","147","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PI-18.pine","True","261","261","42","42","0","0","47","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PICE-01.pine","True","104","104","18","18","4","4","360","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PICE-02.pine","True","135","135","19","19","4","4","306","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PICE-03.pine","True","105","105","14","14","0","0","378","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PICE-04.pine","True","115","115","14","14","4","4","561","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PILIT-01.pine","True","123","123","14","14","0","0","165","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PILIT-02.pine","True","200","200","42","42","36","36","123","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\PLS original.pine","True","151","151","16","16","0","0","314","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SCALP-01.pine","True","311","311","18","18","0","0","79","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SCALP-02.pine","True","311","311","22","22","0","0","91","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\Shark.pine","True","187","187","44","44","0","0","586","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SMBR-01.pine","True","124","124","11","11","3","3","111","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SMBR-02.pine","True","207","207","18","18","3","3","11","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SMPA ORG.pine","True","383","383","53","53","7","8","17","curl_mismatch;non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SMPA-01.pine","True","421","421","54","54","8","8","17","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SMPA-04.pine","True","93","93","6","6","13","13","52","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SMPA-05.pine","True","183","183","32","32","6","6","17","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SMPA-06.pine","True","402","402","138","138","9","13","24","curl_mismatch;non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\SP.pine","True","161","161","19","19","0","0","174","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\Squeeze.pine","True","39","39","3","3","0","0","0",""
"D:\Work\Coding\Trading\indicators\other\STAI-01.pine","True","144","144","14","14","7","7","2","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\STAI-02.pine","True","185","185","16","16","7","8","68","curl_mismatch;non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\TEST-01.pine","True","96","96","12","12","0","0","8","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\TEST-02.pine","True","270","270","10","10","0","0","322","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\TEST-03.pine","True","99","99","33","33","0","0","64","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\other\TEST-04.pine","False","0","0","0","0","0","0","0","missing_version"
"D:\Work\Coding\Trading\indicators\trend\ema-trend.pine","False","0","0","0","0","0","0","0","missing_version"
"D:\Work\Coding\Trading\indicators\volume_profile\archive\VPP_v4_1_copy.pine","True","198","198","32","32","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_0.pine","True","199","199","32","32","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_2_Final.pine","True","246","246","42","42","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vp\value-area.pine","False","0","0","0","0","0","0","0","missing_version"
"D:\Work\Coding\Trading\indicators\vp\VP-03.pine","True","163","163","21","21","0","0","0",""
"D:\Work\Coding\Trading\indicators\vp\VP-04.pine","True","245","245","22","22","0","0","3","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vp\VPP-05.pine","True","670","670","114","114","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vp\VPP-06.pine","True","245","245","41","41","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vp\VPP-07.pine","True","249","249","44","44","0","0","49","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vp\VPP-08.pine","True","245","245","41","41","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vp\VPP5.pine","True","252","252","41","41","0","0","97","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-01.pine","True","104","104","18","18","4","4","360","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-02.pine","True","135","135","19","19","4","4","306","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-03.pine","True","105","105","14","14","0","0","378","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-04.pine","True","115","115","14","14","4","4","561","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-01.pine","True","146","146","7","7","0","0","25","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-02.pine","True","232","232","13","13","0","0","440","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-03.pine","True","235","235","9","9","0","0","275","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-04.pine","True","204","204","9","9","0","0","353","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-05.pine","True","16","16","0","0","0","0","2","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-06.pine","True","187","187","18","18","0","0","110","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-07.pine","True","132","132","13","13","0","0","52","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-08.pine","True","182","182","10","10","0","0","486","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-09.pine","True","372","372","29","29","0","0","339","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-10.pine","True","221","221","10","10","0","0","658","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-11.pine","True","223","223","12","12","0","0","143","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-12.pine","True","239","239","29","29","0","0","379","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-13.pine","True","293","293","31","31","0","0","53","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-14.pine","True","317","317","36","36","0","0","98","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-15.pine","True","173","173","10","10","0","0","312","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-16.pine","True","54","54","14","14","0","0","147","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-17.pine","True","9","9","0","0","0","0","5","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-18.pine","True","261","261","42","42","0","0","47","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\Claude PLS.pine","True","232","232","15","15","0","0","696","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\SMPA-03.pine","True","191","191","37","37","1","0","31","curl_mismatch;non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\VSA-01.pine","True","136","136","23","23","0","0","14","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\VSA-02.pine","True","109","109","2","2","0","0","116","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\VSA-04.pine","True","170","170","1","1","0","0","264","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\vsa\VSAScalpPro20.pine","True","310","310","22","22","0","0","91","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\wyckoff\Wish 5.2 hybrid.pine","True","165","165","29","29","0","0","61","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\wyckoff\WSH-01.pine","True","203","203","30","30","0","0","161","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\wyckoff\WSH-03.pine","True","359","359","29","29","0","0","212","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\wyckoff\WSH-04.pine","True","181","181","30","30","0","0","65","non_ascii_chars"
"D:\Work\Coding\Trading\libraries\vsa-functions.pine","False","0","0","0","0","0","0","0","missing_version"
"D:\Work\Coding\Trading\production\PI-03.pine","True","235","235","9","9","0","0","275","non_ascii_chars"
"D:\Work\Coding\Trading\production\PI-04.pine","True","204","204","9","9","0","0","353","non_ascii_chars"
"D:\Work\Coding\Trading\production\PI-05.pine","True","16","16","0","0","0","0","2","non_ascii_chars"
"D:\Work\Coding\Trading\production\PI-17.pine","True","9","9","0","0","0","0","5","non_ascii_chars"
"D:\Work\Coding\Trading\production\VP-01.pine","True","133","133","28","28","0","0","0",""
"D:\Work\Coding\Trading\production\VP-02.pine","True","158","158","30","30","0","0","0",""
"D:\Work\Coding\Trading\strategies\SMBR-03.pine","True","180","180","6","6","3","3","275","non_ascii_chars"
"D:\Work\Coding\Trading\z_archive\notes\Ideas.pine","False","6","6","0","0","0","0","36","missing_version;non_ascii_chars"
"D:\Work\Coding\Trading\EZ3.pine","True","134","134","12","12","0","0","4","non_ascii_chars"
"D:\Work\Coding\Trading\Ideas.pine","False","6","6","0","0","0","0","36","missing_version;non_ascii_chars"
"D:\Work\Coding\Trading\VPP4.pine","True","199","199","32","32","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\VPP41.pine","True","198","198","32","32","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\VPP42.pine","True","246","246","42","42","0","0","39","non_ascii_chars"
"D:\Work\Coding\Trading\vsa-functions.pine","False","0","0","0","0","0","0","0","missing_version"
"D:\Work\Coding\Trading\WSH Velo.pine","True","396","489","65","67","0","0","244","paren_mismatch;bracket_mismatch;non_ascii_chars"
