folder,hash,keep,delete_count,delete_paths
indicators\PI family,2738c20cf0c00e88ac51ebb86caa1ca4b8f1b5541bbc970c86edc8e6b995f079,D:\Work\Coding\Trading\indicators\PI family\Pi-3.2-VPP.pine,1,D:\Work\Coding\Trading\indicators\PI family\Pi-3.2-VPP-2.pine
indicators\composite,2ff9ad53badbef106e8fb1c706d60e5b89ed95b34d1ecebf9a73c7262e8f8ad8,D:\Work\Coding\Trading\indicators\composite\EZZ1-v1.6.3-(Wyckoff-VSA-KV-Gate-Weights-Sweep-WR)-Final.pine,1,D:\Work\Coding\Trading\indicators\composite\EZZ1-v1.6.3-(Wyckoff-VSA-KV-Gate-Weights-Sweep-WR)-Final-1.pine
indicators\composite,1d60b121569fbc2a54ae4861f59ccde63500e3d8ee8833f3dcdcec626a2509bd,D:\Work\Coding\Trading\indicators\composite\EZZY.pine,1,D:\Work\Coding\Trading\indicators\composite\EZZY-1.pine
indicators\composite,57366cffbc3c70fc97c42dbb7863960022db65648598869a14863a62f5bd8527,D:\Work\Coding\Trading\indicators\composite\VSA-Scalping-Engine-Pro.pine,1,D:\Work\Coding\Trading\indicators\composite\VSA-Scalping-Engine-Pro-2.pine
indicators\vp,9dd379f1ecc242771a7081cabf2006668e47f7ba9e5bdc805f4d9e2732755190,D:\Work\Coding\Trading\indicators\vp\version5.pine,1,D:\Work\Coding\Trading\indicators\vp\version5-7.pine
